Country,Year,loc,sca,mode
Albania,2019,0.04015352757187253,0.022034147355667708,37275.43234832178
Albania,2020,0.04015352757187253,0.022034147355667708,38802.628416856445
Albania,2021,0.04015352757187253,0.022034147355667708,40392.39459349752
Albania,2022,0.04015352757187253,0.022034147355667708,42047.294411840405
Albania,2023,0.04015352757187253,0.022034147355667708,43769.99643493775
Albania,2024,0.04015352757187253,0.022034147355667708,45563.2785584172
Albania,2025,0.04015352757187253,0.022034147355667708,47430.032489900375
Albania,2026,0.04015352757187253,0.022034147355667708,49373.26841194618
Albania,2027,0.04015352757187253,0.022034147355667708,51396.119836037724
Albania,2028,0.04015352757187253,0.022034147355667708,53501.8486554398
Albania,2029,0.04015352757187253,0.022034147355667708,55693.850405074845
Albania,2030,0.04015352757187253,0.022034147355667708,57975.6597368992
Albania,2031,0.04015352757187253,0.022034147355667708,60350.95611960855
Albania,2032,0.04015352757187253,0.022034147355667708,62823.56977186372
Albania,2033,0.04015352757187253,0.022034147355667708,65397.487838604065
Albania,2034,0.04015352757187253,0.022034147355667708,68076.86082040817
Albania,2035,0.04015352757187253,0.022034147355667708,70866.0092662689
Albania,2036,0.04015352757187253,0.022034147355667708,73769.43074057567
Albania,2037,0.04015352757187253,0.022034147355667708,76791.80707553774
Albania,2038,0.04015352757187253,0.022034147355667708,79938.01192074361
Albania,2039,0.04015352757187253,0.022034147355667708,83213.11860203026
Albania,2040,0.04015352757187253,0.022034147355667708,86622.40830233472
Albania,2041,0.04015352757187253,0.022034147355667708,90171.37857772002
Albania,2042,0.04015352757187253,0.022034147355667708,93865.75222230754
Albania,2043,0.04015352757187253,0.022034147355667708,97711.48649641077
Albania,2044,0.04015352757187253,0.022034147355667708,101714.78273275112
Albania,2045,0.04015352757187253,0.022034147355667708,105882.09633624602
Albania,2046,0.04015352757187253,0.022034147355667708,110220.14719349392
Albania,2047,0.04015352757187253,0.022034147355667708,114735.93050874215
Albania,2048,0.04015352757187253,0.022034147355667708,119436.72808381055
Albania,2049,0.04015352757187253,0.022034147355667708,124330.12006016013
Albania,2050,0.04015352757187253,0.022034147355667708,129423.99714204106
Albania,2051,0.04015352757187253,0.022034147355667708,134726.57332043018
Albania,2052,0.04015352757187253,0.022034147355667708,140246.39911827559
Albania,2053,0.04015352757187253,0.022034147355667708,145992.37537840655
Albania,2054,0.04015352757187253,0.022034147355667708,151973.76761634197
Albania,2055,0.04015352757187253,0.022034147355667708,158200.22096114207
Albania,2056,0.04015352757187253,0.022034147355667708,164681.77570839503
Albania,2057,0.04015352757187253,0.022034147355667708,171428.8835104187
Albania,2058,0.04015352757187253,0.022034147355667708,178452.42422978437
Albania,2059,0.04015352757187253,0.022034147355667708,185763.72348333892
Albania,2060,0.04015352757187253,0.022034147355667708,193374.5709050158
Albania,2061,0.04015352757187253,0.022034147355667708,201297.2391568842
Albania,2062,0.04015352757187253,0.022034147355667708,209544.50371909165
Albania,2063,0.04015352757187253,0.022034147355667708,218129.6634906121
Albania,2064,0.04015352757187253,0.022034147355667708,227066.5622340186
Albania,2065,0.04015352757187253,0.022034147355667708,236369.6108988609
Albania,2066,0.04015352757187253,0.022034147355667708,246053.81085964447
Albania,2067,0.04015352757187253,0.022034147355667708,256134.77810588322
Albania,2068,0.04015352757187253,0.022034147355667708,266628.7684232327
Albania,2069,0.04015352757187253,0.022034147355667708,277552.7036063087
Albania,2070,0.04015352757187253,0.022034147355667708,288924.1987454605
Albania,2071,0.04015352757187253,0.022034147355667708,300761.5906314988
Albania,2072,0.04015352757187253,0.022034147355667708,313083.96732418216
Albania,2073,0.04015352757187253,0.022034147355667708,325911.198932141
Albania,2074,0.04015352757187253,0.022034147355667708,339263.96965387336
Albania,2075,0.04015352757187253,0.022034147355667708,353163.8111314783
Albania,2076,0.04015352757187253,0.022034147355667708,367633.1371709117
Albania,2077,0.04015352757187253,0.022034147355667708,382695.2798847509
Albania,2078,0.04015352757187253,0.022034147355667708,398374.52731574886
Albania,2079,0.04015352757187253,0.022034147355667708,414696.16260184796
Albania,2080,0.04015352757187253,0.022034147355667708,431686.50474580616
Albania,2081,0.04015352757187253,0.022034147355667708,449372.9510551793
Albania,2082,0.04015352757187253,0.022034147355667708,467784.02132109366
Albania,2083,0.04015352757187253,0.022034147355667708,486949.4038070482
Albania,2084,0.04015352757187253,0.022034147355667708,506900.003121905
Albania,2085,0.04015352757187253,0.022034147355667708,527667.9900542642
Albania,2086,0.04015352757187253,0.022034147355667708,549286.8534485808
Albania,2087,0.04015352757187253,0.022034147355667708,571791.4542066781
Albania,2088,0.04015352757187253,0.022034147355667708,595218.0815017328
Albania,2089,0.04015352757187253,0.022034147355667708,619604.5112953798
Albania,2090,0.04015352757187253,0.022034147355667708,644990.0672522981
Albania,2091,0.04015352757187253,0.022034147355667708,671415.6841505006
Albania,2092,0.04015352757187253,0.022034147355667708,698923.9738895819
Albania,2093,0.04015352757187253,0.022034147355667708,727559.2942033608
Albania,2094,0.04015352757187253,0.022034147355667708,757367.8201877214
Albania,2095,0.04015352757187253,0.022034147355667708,788397.6187589896
Albania,2096,0.04015352757187253,0.022034147355667708,820698.726162913
Albania,2097,0.04015352757187253,0.022034147355667708,854323.228659229
Albania,2098,0.04015352757187253,0.022034147355667708,889325.3465119265
Albania,2099,0.04015352757187253,0.022034147355667708,925761.521420637
